IDCLI,CODBAI,NOMEBAI,CODCID,NOMECID,CODUF,UF,PESOBRUTO,DEVOLUCAO,RECENCIA,FREQUENCIA,MONETARY,,,
226,1613,JARDIM GUARANHUNS,2107,VILA VELHA,16,ES,"4718,2522",0,537,75,"34952,38",,,
227,1464,CARAPINA,2091,SERRA,16,ES,"3000,0627",0,176,36,"9424,44",,,
228,1249,SANTANA,1912,CARIACICA,16,ES,"2356,2824",0,96,78,"20936,33",,,
229,1,CENTRO,904,MUCURI,6,BA,"197316,9209","1260,23",5,595,"247719,54",,,
230,18779,CENTRO SEDE,904,MUCURI,6,BA,"59171,68151","216,22",5,213,"74117,58",,,
231,18682,SOIDO,1929,DOMINGOS MARTINS,16,ES,"6494,9217",0,98,55,"23949,26",,,
233,18686,MOACIR AVIDOS,1942,GOV LINDENBERG,16,ES,"5388,119","1388,97",44,166,"63408,25",,,
234,1150,MOROBA,1882,ARACRUZ,16,ES,"3829,4147",0,838,57,"26056,24",,,
235,1703,JOANA DARC,2111,VITORIA,16,ES,"1040,044",0,1807,5,615,,,
236,65,PLANALTO,2107,VILA VELHA,16,ES,"42739,0262",0,5,319,"339635,75",,,
237,194,SAO GERALDO,2091,SERRA,16,ES,"4194,56774",0,695,83,"10014,81",,,
239,1,CENTRO,1993,MANTENOPOLIS,16,ES,"16519,6769",0,404,35,"13815,2",,,
241,12197,MORADA SANTA FE,1912,CARIACICA,16,ES,"1216,2",0,686,21,"7626,15",,,
243,654,ALAGOAS,1127,TEIXEIRA DE FREITAS,6,BA,"34796,97425",0,19,406,"166855,7",,,UF: Sigla do estado do cliente
245,5464,QUILOMBO,1977,IUNA,16,ES,"18088,492","2782,34",13,171,"46162,9",,,
249,291,POLO PETROQUIMICO,526,CAMACARI,6,BA,"32983,424","16648,2",13,146,"418539,22",,,
250,1,CENTRO,2001,MONTANHA,16,ES,"295,52",0,1646,9,"1093,72",,,
253,1,CENTRO,7168,STO ANTONIO DE PADUA,7,RJ,"7566,204","784,31",1055,57,"66394,02",,,
254,45,NOVO HORIZONTE,2091,SERRA,16,ES,"5535,53335",0,1498,27,"9336,35",,,
255,18713,JARDIM BALNEARIO ELZ ,1994,MARATAIZES,16,ES,"21949,4166","2469,92",16,157,"58795,45",,,
256,1626,PRAIA DE ITAPARICA,2107,VILA VELHA,16,ES,"24,85",0,1111,3,84,,,
257,1,CENTRO,904,MUCURI,6,BA,"32728,62657","200,74",5,181,"36265,02",,,
258,18625,DISTRITO ITAOCA,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"4980,898",0,572,1358,48380,,,
259,241,BRASIL NOVO,1949,IBATIBA,16,ES,"1369,84",0,1651,12,"5872,9",,,
262,1418,OLARIA,9383,MEDEIROS NETO,6,BA,"51728,51153","339,62",391,155,"43169,35",,,
266,1,CENTRO,10077,SANTA MARIA DE JETIBA,16,ES,"1269,0412",0,1349,15,"2693,88",,,
267,1,CENTRO,1970,ITAPEMIRIM,16,ES,"10825,4788",0,56,237,"88276,47",,,
268,18849,DIST VARGEM GRANDE DE SOTURNO,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"6289,851",0,1513,36,"9889,88",,,
269,1268,AREINHA,2101,VIANA,16,ES,"59037,3433","172,49",42,299,"87235,95",,,
270,18733,GIOVANI BREDA ,1870,ALFREDO CHAVES,16,ES,"6434,6555",0,602,127,"30908,13",,,
271,1702,ROMAO,2111,VITORIA,16,ES,"986,9",0,896,6,"799,9",,,
273,1510,FEU ROSA,2091,SERRA,16,ES,"18698,72968","986,7",216,211,47568,,,
276,18739,JOAO TOMAZ,1959,IRUPI,16,ES,"1539,1332","430,85",414,57,"17451,82",,,
277,1,CENTRO,1931,DORES DO RIO PRETO,16,ES,"4162,0095","284,2",1568,28,"7087,68",,,
278,185,SANTO AGOSTINHO,1913,CASTELO,16,ES,"4190,8032","715,08",134,113,"42527,44",,,
279,1,CENTRO,2000,MIMOSO DO SUL,16,ES,"9922,3372",0,1009,50,"22411,42",,,
280,170,GLORIA,2107,VILA VELHA,16,ES,"737,7768",0,744,39,"4678,27",,,
282,1558,BOA VISTA II,2091,SERRA,16,ES,"4286,1205","8,42",20,146,"34514,03",,,
283,5464,QUILOMBO,1977,IUNA,16,ES,"126174,5031","4977,21",5,668,"274704,14",,,
284,45,NOVO HORIZONTE,2091,SERRA,16,ES,"1032,858",0,1664,9,"5112,75",,,
285,1,CENTRO,2000,MIMOSO DO SUL,16,ES,"30369,8367","237,78",21,311,"98476,76",,,
287,1255,ITAQUARI,1912,CARIACICA,16,ES,"175627,7844","913,02",35,357,"223311,51",,,
288,1464,CARAPINA,2091,SERRA,16,ES,"33677,1721","1297,86",35,239,"45991,34",,,
289,18731,TARCISIO MIRANDA ,6990,CAMPOS DOS GOYTACAZES,7,RJ,"2044,9866",0,112,54,"25102,81",,,
291,1244,NOVO BRASIL,1912,CARIACICA,16,ES,"52,726",0,1864,2,"515,96",,,
292,1189,AGOSTINHO SIMONATO,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"15651,68",0,250,49,"99466,53",,,CODUF: Código do estado do cliente
293,1611,TAQUARA II,2091,SERRA,16,ES,"7039,83495","42,99",16,169,"32022,73",,,
294,1,CENTRO,1985,JOAO NEIVA,16,ES,"2431,0198",0,1407,35,24343,,,
296,1,CENTRO,2101,VIANA,16,ES,"182,3892",0,876,9,"1646,04",,,
297,1632,DIVINO ESPIRITO STO ,2107,VILA VELHA,16,ES,"2036,1096",0,1143,51,"8008,66",,,
298,1652,NOVA ITAPARICA,2107,VILA VELHA,16,ES,"1048,496",0,883,6,"1047,26",,,
300,8925,ITAOCA,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"145,1736",0,1167,6,"1306,32",,,
301,159,CIDADE NOVA,1994,MARATAIZES,16,ES,"2871,8748",0,475,125,"25775,77",,,
302,28,FLORESTA,1949,IBATIBA,16,ES,"18911,5665",0,1048,132,"58315,6",,,
303,0,< SEM  BAIRRO >,2081,SAO JOSE DO CALCADO,16,ES,"6782,072",0,1650,31,"17192,06",,,DESCRIÇÃO DOS CAMPOS
306,170,GLORIA,2107,VILA VELHA,16,ES,"481,96176",0,261,130,"1633,23",,,
307,170,GLORIA,2107,VILA VELHA,16,ES,"524,0750003","48,12",1035,84,"957,84",,,
309,18617,FILOMENA,2011,NOVA VENECIA,16,ES,"673,064",0,1603,39,"1171,7",,,
310,5853,SOUZA,2758,ALVINOPOLIS,2,MG,"361,704",0,1898,2,"2068,2",,,
312,798,JARDIM AMERICA,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"123,4995",0,106,99,"664,63",,,
313,557,CAMPO GRANDE,1912,CARIACICA,16,ES,"6523,188","720,48",418,337,"49787,48",,,
315,208,SAO JOSE,1991,LINHARES,16,ES,"657,07543",0,1107,103,1412,,,
316,1724,ITARARE,2111,VITORIA,16,ES,"2,446",0,1674,65,"30,24",,,
317,1579,ESTANCIA MONAZITICA,2091,SERRA,16,ES,"570,2069",0,649,107,"2123,74",,,
323,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,"6446,0632",0,211,131,"53910,41",,,
324,1,CENTRO,1945,GUACUI,16,ES,"26520,10605","862,86",107,67,"29029,96",,,
325,752,BARRO BRANCO,2091,SERRA,16,ES,"5613,3507","76,68",350,73,"14323,82",,,
326,1675,BARRAMARES,2107,VILA VELHA,16,ES,"680,8656",0,476,43,"6323,78",,,
327,18784,JACIGUA ,2098,VARGEM ALTA,16,ES,"45290,70589","2227,88",13,449,"155752,08",,,
328,18801,PRAIA DE ITAOCA,1970,ITAPEMIRIM,16,ES,"381,0266",0,831,7,"1451,6",,,
329,1,CENTRO,1945,GUACUI,16,ES,"24539,39893","658,46",35,62,"16516,26",,,
